molecule_chembl_id,canonical_smiles,murcko_fragment,problem_type,strategy,train_test,drop_intermediate,pIC50,bioactivity_class
CHEMBL368163,Cc1[nH]c2ccc(O)cc2c1C[C@H](NC(=O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1)C(=O)O,n1c2cc(ccc2n(c1-c3cocc3)C4CCCCC4)CNCCc5c[nH]c6ccccc65,classification,random,train,True,6.337242168318426,active
CHEMBL4213964,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc3c(cc12)[C@H](C)N(C)C(=O)CN3S(C)(=O)=O,o1c(cc2cc3c(cc12)NCCNC3)-c4ccccc4,classification,random,train,True,7.886056647693163,active
CHEMBL183403,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3ccccc3)cc2)C2CCS(=O)(=O)CC2)s1,n1ccsc1N(Cc2ccc(Oc3ccccc3)cc2)C4CCSCC4,classification,random,test,True,4.301029995663981,inactive
CHEMBL4641335,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](Cl)(Br)[C@@H]1O)Oc1cccc2ccccc12,[N]1[CH]C=CN([CH]1)C2OC(COPOc3cccc4ccccc34)CC2,classification,random,train,True,6.97469413473523,active
CHEMBL191813,COc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,O(c1ccccc1)c2ccc(C=CNCc3ccccc3)cc2,classification,random,train,True,4.823908740944319,inactive
CHEMBL425607,CNC(=O)COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,n1cccc2cc(cnc12)C3=Nc4ccccc4SN3,classification,random,test,True,7.096910013008056,active
CHEMBL2296656,Cc1ncc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c(-c2ccc(Cl)cc2)n1,n1cnc(-c2ccccc2)c(c1)COc3ccc(cc3)-c4nc5ccccc5n4C6CCCCC6,classification,random,train,True,6.72584215073632,active
CHEMBL202304,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccc([N+](=O)[O-])c21,N=1Sc2ccccc2NC1C3=Cc4ccccc4NC3,classification,random,train,True,5.0,inactive
CHEMBL201533,O=C1/C(=C/c2ccccc2)SC(=S)N1NS(=O)(=O)c1ccccc1,S(NN1CSC(=Cc2ccccc2)C1)c3ccccc3,classification,random,train,True,4.522878745280337,inactive
CHEMBL4279640,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(C(C)C)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,n1cc(cc2cc(oc12)-c3ccccc3)-c4ccccc4,classification,random,train,True,7.1938200260161125,active
CHEMBL2236791,Cc1cccc(CSc2nc(-c3ccc(Cl)cc3Cl)c(C#N)c(=O)[nH]2)c1,n1ccc(nc1SCc2ccccc2)-c3ccccc3,classification,random,train,True,4.481486060122112,inactive
