algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_accuracy,train_f1,train_inference_time_ns,train_mcc,train_precision,train_sensitivity,train_specificity,test_accuracy,test_f1,test_inference_time_ns,test_mcc,test_precision,test_sensitivity,test_specificity,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
dt,True,185.7314453125,MACCS,stratified,hcv_ns3,0.9035087719298246,0.9147286821705426,2097660,0.8153145883489348,0.855072463768116,0.9833333333333333,0.8148148148148148,0.8947368421052632,0.90625,1891464,0.7953491550810919,0.9666666666666667,0.8529411764705882,0.9565217391304348,0.8903508771929826,0.868421052631579,0.9342105263157895,0.868421052631579,,,,,,,,,,30,sqrt,,1.0,8.0,,,,,,,22.0,,,,80,0.15999999999999998
dt,False,196.51953125,MACCS,stratified,hcv_ns3,0.7465564738292011,0.7362099626165304,1980657,0.6380446329661918,0.7678144748889039,0.7465564738292011,,0.7692307692307693,0.7588711757725841,1779590,0.6711184944135807,0.79237998843262,0.7692307692307693,,0.6308539944903582,0.6694214876033058,0.6528925619834711,0.5702479338842975,,,,,,,,,,30,sqrt,,2.0,2.0,,,,,,,22.0,,,,80,0.08999999999999998
knn,True,518.5537109375,MACCS,stratified,hcv_ns3,0.9868421052631579,0.9875518672199171,19806416,0.9736365914879485,0.9834710743801653,0.9916666666666667,0.9814814814814815,0.9473684210526315,0.9538461538461539,18375640,0.8980874600910819,1.0,0.9117647058823529,1.0,0.9298245614035087,0.9078947368421053,0.9342105263157895,0.9473684210526315,,auto,,,,,,40.0,,,,,,,,,-1.0,5.0,,1.0,,,,distance,80,0.15999999999999998
knn,False,676.9072265625,MACCS,stratified,hcv_ns3,0.7520661157024794,0.7461764940802902,50022796,0.635109603133119,0.7573690124492264,0.7520661157024794,,0.7142857142857143,0.706376994261833,23452621,0.5794340768599677,0.7204356490070776,0.7142857142857143,,0.6446280991735538,0.7024793388429752,0.6611570247933884,0.5702479338842975,,brute,,,,,,10.0,,,,,,,,,-1.0,5.0,,1.0,,,,uniform,80,0.08999999999999998
rf,True,1277.158203125,MACCS,strict,hcv_ns3,0.9881889763779528,0.988929889298893,7228493,0.9763025688382726,0.9852941176470589,0.9925925925925926,0.9831932773109243,0.967741935483871,0.9743589743589743,7147438,0.9331845119446278,0.95,1.0,0.9166666666666666,0.927710843373494,0.927710843373494,0.8795180722891566,0.9759036144578314,,,,,,,,,,10,log2,,1.0,2.0,100.0,,,,True,,22.0,,True,,80,0.08999999999999998
rf,False,9535.671875,MACCS,strict,hcv_ns3,0.9079601990049752,0.9074366662662053,37074755,0.8634322356500826,0.9104307134048317,0.9079601990049752,,0.8653846153846154,0.8677476369784063,23494788,0.7964692115855919,0.8826923076923077,0.8653846153846154,,0.664141414141414,0.6287878787878788,0.6818181818181818,0.6818181818181818,,,,,,,,,,10,sqrt,,1.0,2.0,500.0,,,,True,,22.0,,True,,100,0.15999999999999998
hgb,True,822.1826171875,MACCS,strict,hcv_ns3,0.9724409448818898,0.9745454545454545,10644486,0.9452665951681821,0.9571428571428572,0.9925925925925926,0.9495798319327731,0.967741935483871,0.9743589743589743,8416120,0.9331845119446278,0.95,1.0,0.9166666666666666,0.9076305220883535,0.927710843373494,0.8433734939759037,0.9518072289156626,,,,,True,,0.01,,0.01,50,,1000.0,16.0,,,100.0,,,,,22.0,,True,,80,0.08999999999999998
hgb,False,2638.7783203125,MACCS,strict,hcv_ns3,0.8283582089552238,0.8272406933420247,16025531,0.7442668945664412,0.8325254980783072,0.8283582089552238,,0.8846153846153846,0.8835209505941213,9238020,0.8209271473374585,0.8897352647352648,0.8846153846153846,,0.6767676767676768,0.6590909090909091,0.6742424242424242,0.696969696969697,,,,,True,,0.0,,0.01,50,,1000.0,8.0,,,100.0,,,,,22.0,,True,,80,0.15999999999999998
svm,True,583.607421875,MACCS,strict,hcv_ns3,0.9724409448818898,0.9743589743589743,3996599,0.9448460654309271,0.9637681159420289,0.9851851851851852,0.957983193277311,0.967741935483871,0.9743589743589743,1881744,0.9331845119446278,0.95,1.0,0.9166666666666666,0.927710843373494,0.9397590361445783,0.8674698795180723,0.9759036144578314,10.0,,0.0,2.0,,0.01,,,,,,,,,,,,,,,22.0,True,,,100,0.08999999999999998
svm,False,652.396484375,MACCS,strict,hcv_ns3,0.7611940298507462,0.7562880349680323,10922318,0.6459714933037733,0.7629977019050282,0.7611940298507462,,0.8269230769230769,0.8221396250808015,2997724,0.7288521451274997,0.8275949593884376,0.8269230769230769,,0.6767676767676768,0.6212121212121212,0.7121212121212122,0.696969696969697,10.0,,0.0,2.0,,0.01,,,,,,,,,,,,,,,22.0,False,,,90,0.15999999999999998
dt,True,191.1923828125,MACCS,strict,hcv_ns3,0.9960629921259843,0.9962825278810409,1815664,0.9921295216121336,1.0,0.9925925925925926,1.0,1.0,1.0,1773495,1.0,1.0,1.0,1.0,0.891566265060241,0.927710843373494,0.8433734939759037,0.9036144578313253,,,,,,,,,,30,sqrt,,1.0,2.0,,,,,,,22.0,,,,80,0.08999999999999998
