algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_inference_time_ns,train_mae,train_pearson,train_r2,train_rmse,test_inference_time_ns,test_mae,test_pearson,test_r2,test_rmse,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
rf,False,3586.2529296875,SubstructureCount,random,homosapiens_cyp17a1,14520553,0.32955050925925894,0.9173191099962356,0.8308428817001037,0.46665679128525334,8280976,0.3298873401375591,0.9115111489801002,0.8138733897427151,0.4735449486789681,0.5833764786012944,0.5966542786766402,0.5428102177471299,0.6106649393801131,,,,,,,,,,30,log2,,1.0,3.0,100.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,1673.904296875,SubstructureCount,random,homosapiens_cyp17a1,24170733,0.41156161581714545,0.870379098743788,0.7555326645811257,0.5610000125461535,9900883,0.388727225348111,0.8735888886260104,0.7583061974769681,0.5396221047496523,0.5697846365140964,0.5235806655860914,0.5511679403542293,0.6346053036019685,,,,,True,,0.0,,0.01,50,,1000.0,16.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,747.44140625,SubstructureCount,random,homosapiens_cyp17a1,16844872,0.3610827041808269,0.8768843785424996,0.76892249585649,0.545420284471532,5791261,0.37169858712506887,0.8520356809191802,0.7251808024722317,0.5754141108822827,0.5624653095190267,0.550829584161431,0.5211583991023085,0.6154079452933408,10.0,,0.1,4.0,,0.01,,,,,,,,,,,,,,,,False,,,90,0.08999999999999998
dt,False,199.6162109375,SubstructureCount,random,homosapiens_cyp17a1,2390902,0.4548310330542473,0.8165093886524382,0.665844485722479,0.655883593809629,2290932,0.4851821341675357,0.7964671239720971,0.6290965735541132,0.6684784280196128,0.4570360500058042,0.5046974903239019,0.3824607639170009,0.48394989577650993,,,,,,,,,,20,log2,,2.0,8.0,,,,,,,22.0,,,,90,0.08999999999999998
knn,False,597.91796875,SubstructureCount,random,homosapiens_cyp17a1,29997841,0.47209314495028776,0.8294239429737342,0.6781380741451405,0.6437055509787981,20947874,0.48134515119916577,0.7859291753739281,0.6063330586845277,0.6886863056921108,0.5386371069862141,0.5533380485470789,0.4728365231666486,0.5897367492449148,,kd_tree,,,,,,20.0,,,,,,,,,-1.0,7.0,,1.0,,,,uniform,100,0.08999999999999998
rf,False,15389.375,SubstructureCount,stratified,homosapiens_cyp17a1,49926315,0.3132521136283416,0.9140945304236295,0.8306806883940498,0.4547647942231085,33273998,0.3595346094068894,0.9151632632512161,0.8164128910765515,0.5141169748144726,0.5879930352421411,0.5958110273307128,0.5701515462237104,0.5980165321720001,,,,,,,,,,20,log2,,1.0,3.0,500.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,1799.8935546875,SubstructureCount,stratified,homosapiens_cyp17a1,18220098,0.38720254692450723,0.8749898081428028,0.7650397410212288,0.5357112852758154,9993349,0.43240551453931153,0.8700307116637584,0.7441256602531539,0.6069518220901167,0.563294305975917,0.56223699665064,0.5781027479166789,0.549543173360432,,,,,True,,0.1,,0.01,20,,10000.0,16.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,734.62109375,SubstructureCount,stratified,homosapiens_cyp17a1,15696008,0.3591772465417649,0.8625752300940688,0.7436394187985826,0.5595761719603435,5633644,0.41674796734870234,0.8587607042334694,0.7368251457920756,0.6155495916248189,0.5940601572122842,0.5989140033697378,0.6220644075289012,0.5612020607382135,10.0,,0.0,4.0,,0.01,,,,,,,,,,,,,,,,True,,,80,0.08999999999999998
dt,False,193.982421875,SubstructureCount,stratified,homosapiens_cyp17a1,2504168,0.4899151544496372,0.7917333866520544,0.6240887952307286,0.6776044113026234,2326696,0.5648887750250702,0.7796558069878845,0.6058779262454677,0.7532796441021166,0.46324096193238495,0.4835198069056319,0.4822671372533496,0.4239359416381734,,,,,,,,,,10,sqrt,,2.0,8.0,,,,,,,22.0,,,,80,0.08999999999999998
knn,False,558.6318359375,SubstructureCount,stratified,homosapiens_cyp17a1,17639756,0.39438949938949935,0.8588727069913957,0.7360749122247594,0.5677719415531007,4764407,0.4097323600973236,0.8752074181466843,0.7553488572237553,0.5934914631132626,0.5585438885827845,0.5592506645513491,0.5798804672945549,0.5365005339024495,,auto,,,,,,10.0,,,,,,,,,-1.0,3.0,,1.0,,,,uniform,90,0.08999999999999998
